Serial Number,Device Name,Address,Lat,Long,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,2022,,,,
20124802,#KC CITY OFSOMERVILLE #SN BOX #1 DAVIS SQUARE 7/11 TRASH BARRELS,12 College Ave,42.39705,-71.1223,0,0,0,0,0,0,0,0,0,53,,,,
20121603,#KC CITY OF SOMERVILLE #SN BOX #15 ALLEY WAY BESIDE BANK OF AMERICA ACROSS FROM WISEMAN INS,1 DAVIS SQUARE,42.39605,-71.1218,0,0,0,0,0,0,0,0,0,,,,,
20057690,#KC CITY SOMERVILLE #SN DAVIS SQ BOX #13 ALLEY NEXT TO BURREN,1 DAVIS SQUARE,42.39565,-71.1209,0,0,0,0,0,0,0,0,0,24,,,,
20057821,#KC CITY OF SOMERVILLE #SN BOX #16 BEHIND ABANDONED HOUSE ON MACARTHUR ST,MACARTHUR ST,42.38904,-71.0886,0,0,0,0,0,0,0,0,0,22,,,,
20057981,#KC CITY OF SOMERVILLE #SN DAVIS SQ BOW ST DUMPSTER AREA BOX #7,1 DAVIS SQUARE,42.39613,-71.1227,0,0,0,0,0,0,0,0,0,17,,,,
20058777,#KC CITY OF SOMERVILLE #SN MACARTHUR ST BOX #27,8 MACARTHUR ST,42.38895,-71.0879,0,0,0,0,0,0,0,0,0,18,,,,
20059023,#KC CITY OF SOMERVILLE #SN BOX #29 192 BROADWAY FENCE LINE BEHIND DUMPSTER,192 BROADWAY PL,42.38865,-71.0879,0,0,0,0,0,0,0,0,0,10,,,,
20112164,#KC CITY SOMERVILLE #SN DAVIS SQUARE BOX #4 BY MBTA ACROSS FROM BLUE BIKES,1 DAVIS SQUARE,42.3968,-71.1221,0,0,0,0,0,0,0,0,0,17,,,,
20112168,#KC CITY SOMERVILLE #SN DAVIS SQ BOX #5 LEFT OF MBTA HOLLAND ST,1 DAVIS SQUARE,42.39682,-71.1232,0,0,0,0,0,0,0,0,0,33,,,,
20120412,#KC CITY OF SOMERVILLE #SN MACARTHUR ST BOX #20 BEHIND GAS STATION,MACARTHUR ST,42.38908,-71.0886,0,0,0,0,0,0,0,0,0,15,,,,
20121059,#KC CITY OF SOMERVILLE #SN BOX #10 DUMPSTER BY BURREN,1 DAVIS SQUARE,42.3955,-71.1213,0,0,0,0,0,0,0,0,0,28,,,,
20121141,#KC CITY OF SOMERVILLE #SN MACARTHUR BOX #25 8 MACARTHUR ST,8 MACARTHUR ST,42.38893,-71.0878,0,0,0,0,0,0,0,0,0,16,,,,
20121350,#KC CITY OF SOMERVILLE #SN DAVIS SQ BOX #11 BEHIND MARTSA ON ELM ST,1 DAVIS SQUARE,42.39526,-71.1214,0,0,0,0,0,0,0,0,0,32,,,,
20121469,#KC CITY OF SOMERVILLE #SN MACARTHUR BOX 22 BEHIND GARAGE MACARTHUR/BROADWAY,MACARTHUR ST,42.38908,-71.0883,0,0,0,0,0,0,0,0,0,5,,,,
20121515,#KC CITY SOMERVILLE #SN DAVIS SQ BOX #8 DUMPSTER AREA BURREN,402a Highland Ave,42.39555,-71.1213,0,0,0,0,0,0,0,0,0,1,,,,
20121521,#KC CITY OF SOMERVILLE#SN BOX#2 DOUBLE BARRELL IN FRONT OF JP LICKS,1 DAVIS SQUARE,42.39695,-71.1224,0,0,0,0,0,0,0,0,0,7,,,,
20121684,#KC CITY OF SOMERVILLE #SN MACARTHUR ST BOX #17 BEHIND ABANDONED HOUSE MACARTHUR ST,MACARTHUR ST,42.38913,-71.0887,0,0,0,0,0,0,0,0,0,17,,,,
20122622,#KC CITY OF SOMERVILLE #SN 50 BOW ST SOMERVILLE ALONG BACK FENCE,56 Bow St,42.38138,-71.0988,0,0,0,0,0,0,0,0,0,10,,,,
20122638,#KC CITY OF SOMERVILLE 50 BOW ST SOMERVILLE #SN ALONG BACK FENCE,56 Bow St,42.38129,-71.0988,0,0,0,0,0,0,0,0,0,22,,,,
20122696,#KC CITY OF SOMERVILLE #SN 50 BOW ST SOMERVILLE ALONG BACK FENCE,56 Bow St,42.38124,-71.0987,0,0,0,0,0,0,0,0,0,20,,,,
20123639,#KC CITY OF SOMERVILLE #SN BOX #37 74 GILMAN ST,76 GILMAN ST,42.38562,-71.0919,0,0,0,0,0,0,0,0,0,20,,,,
20123649,#KC CITY OF SOMERVILLE #SN BOX #39 BIKE PATH FAR END RIGHT OF BIKE PATH,LEXINGTON AVE,42.39426,-71.1139,0,0,0,0,0,0,0,0,0,3,,,,
20124673,#KC CITY OF SOMERVILLE #SN MACARTHUR BOX #24 6 MACARTHUR BEHIND SHED,6 MACARTHUR ST,42.38891,-71.0878,0,0,0,0,0,0,0,0,0,16,,,,
20124756,#KC CITY OF SOMERVILLE #SN BOX #40 GILMAN ST,106 GILMAN ST,42.38645,-71.0933,0,0,0,0,0,0,0,0,0,11,,,,
20124785,#KC CITY OF SOMERVILLE #SN BOX #21 BEHIND GAS STATION MACARTHUR/BROADWAY,MACARTHUR ST,42.3893,-71.088,0,0,0,0,0,0,0,0,0,16,,,,
20124789,#KC CITY OF SOMERVILLE #SN DAVIS SQUARE BOX #9 DUMPSTER NEXT TO BURREN,1 DAVIS SQUARE,42.39552,-71.1228,0,0,0,0,0,0,0,0,0,34,,,,
20125084,#KC CITY OF SOMERVILLE #SN DAVIS SQ BOX #12 KUNG FU TEA,1 DAVIS SQUARE,42.39515,-71.1213,0,0,0,0,0,0,0,0,0,63,,,,
20125108,#KC CITY OF SOMERVILLE #SN DAVIS SQ BOX #6 LEFT OF MBTA HOLLAND ST,1 DAVIS SQUARE,42.3968,-71.1232,0,0,0,0,0,0,0,0,0,103,,,,
20125124,#KC CITY OF SOMERVILLE #SN BOX #26 8 MACARTHUR ST,8 MACARTHUR ST,42.38889,-71.0879,0,0,0,0,0,0,0,0,0,18,,,,
20125252,#KC CITY OF SOMERVILLE #SN MACARTHUR STBOX #23 INSIDE GAS STATION BAY,MACARTHUR ST,42.38913,-71.0883,0,0,0,0,0,0,0,0,0,9,,,,
20125469,#KC CITY OF SOMERVILLE # DAVIS SQ SN BOX # 3 JP LICKS MULTI TRASH BARRELS,1 DAVIS SQUARE,42.39708,-71.1238,0,0,0,0,0,0,0,0,0,5,,,,
