Description,Lat,Long
1 Davis Square - Elm St @ Day St (CVS),42.39630084,-71.1224979
1 Davis Square - Elm St @ Day St (CVS),42.39630084,-71.1224979
110 Bristol Ave @ Broadway w Recy 5502685,42.40026775,-71.11276127
110 Bristol Ave @ Broadway w Recy 5502685,42.40026775,-71.11276127
1114 Broadway (Magnificent Muffin) w Recy 5502665,42.40290202,-71.12652554
1114 Broadway (Magnificent Muffin) w Recy 5502665,42.40290202,-71.12652554
1122 Broadway (Teele Square Market) w Recy 5502663,42.40290289,-71.12684792
1122 Broadway (Teele Square Market) w Recy 5502663,42.40290289,-71.12684792
1165 Broadway (Neighborhood Market) w Recy 5502660,42.4035509,-71.12769014
1165 Broadway (Neighborhood Market) w Recy 5502660,42.4035509,-71.12769014
1180 Broadway (soul.train) w Recy 5502664,42.40362319,-71.12814619
1180 Broadway (soul.train) w Recy 5502664,42.40362319,-71.12814619
121 Washington St @ Tufts w Recy 5502668,42.3810808,-71.08743633
121 Washington St @ Tufts w Recy 5502668,42.3810808,-71.08743633
1212 Broadway,42.4041282,-71.1290925
14 Broadway & Mt Vernon (classic recy 2070657),42.38594937,-71.07816238
14 Broadway & Mt Vernon (classic recy 2070657),42.38594937,-71.07816238
143 Broadway @ Wisconsin w Recy 5502679,42.38832208,-71.08485064
143 Broadway @ Wisconsin w Recy 5502679,42.38832208,-71.08485064
15 Cross St East - Chuckie Harris Park - Interior Station w Recy 5400848,42.38914484,-71.08524119
15 Cross St East - Chuckie Harris Park - Interior Station w Recy 5400848,42.38914484,-71.08524119
15 Cross St East - Chuckie Harris Park - Street Station (Recy 5400848),42.38930733,-71.08532568
15 Cross St East - Chuckie Harris Park - Street Station (Recy 5400848),42.38930733,-71.08532568
154 Highland Ave @ Central St (Dunkin Donuts) w Recy 5502637,42.38841799,-71.10359862
154 Highland Ave @ Central St (Dunkin Donuts) w Recy 5502637,42.38841799,-71.10359862
2 Broadway @ Caldwell w Recy 5502659,42.38579884,-71.07766673
2 Broadway @ Caldwell w Recy 5502659,42.38579884,-71.07766673
20 Bow St (Union Square Donuts) w Recy 5502640,42.3808515,-71.09716482
20 Bow St (Union Square Donuts) w Recy 5502640,42.3808515,-71.09716482
202 Broadway @ MacArthur w Recy 5502647,42.38930112,-71.08764468
202 Broadway @ MacArthur w Recy 5502647,42.38930112,-71.08764468
21 Union St (Recy 270633),42.37972189,-71.09661412
21 Union St (Recy 270633),42.37972189,-71.09661412
21 Union St (Recy 9520399),42.37964833,-71.09664167
21 Union Street,42.386928,-71.081677
