Street Address,City ,State,Country,latlong
98 PEARL ST,Somerville,MA,United States,"42.384922450000005,-71.08590724999999"
69 BROMFIELD RD,Somerville,MA,United States,"42.40365625,-71.11615775"
34 IBBETSON ST,Somerville,MA,United States,"42.38596575,-71.11176443914613"
25 STONE AVE,Somerville,MA,United States,"42.3804586,-71.09504267647773"
16 BEACON ST,Somerville,MA,United States,"42.3747855,-71.10266251603522"
21 CRAIGIE ST,Somerville,MA,United States,"42.3859622,-71.11213310109926"
64 COLLEGE AVE,Somerville,MA,United States,"42.3987941,-71.1211861"
7 MAINE AVE,Somerville,MA,United States,"42.38864685,-71.08138435509957"
117 WASHINGTON ST,Somerville,MA,United States,"42.381311499999995,-71.0871097314301"
58 SCHOOL ST,Somerville,MA,United States,"42.384187,-71.10075234702751"
54 MOUNT VERNON ST,Somerville,MA,United States,"42.383962249999996,-71.08023265580808"
97 GILMAN ST,Somerville,MA,United States,"42.38644635,-71.0927333294602"
5 HOMER SQ,Somerville,MA,United States,"42.380771800000005,-71.09441434878212"
7 CRAIGIE ST,Somerville,MA,United States,"42.3854822,-71.11243055524318"
17A EVERETT ST,Somerville,MA,United States,"42.378608,-71.09514121814058"
2 UNION SQ,Somerville,MA,United States,"42.3792143,-71.095142"
89 CENTRAL ST,Somerville,MA,United States,"42.388793750000005,-71.10292605217052"
5 EVERETT AVE,Somerville,MA,United States,"42.38675295,-71.0877632309722"
53 CHESTER ST,Somerville,MA,United States,"42.39512015,-71.12247051843454"
34 IBBETSON ST,Somerville,MA,United States,"42.38596575,-71.11176443914613"
11 HIGHLAND AVE,Somerville,MA,United States,"42.384811,-71.0929142"
5 COONEY ST,Somerville,MA,United States,"42.37613585,-71.10425501187498"
12 BUCKINGHAM ST,Somerville,MA,United States,"42.37654415,-71.1034053"
110 CENTRAL ST,Somerville,MA,United States,"42.389992,-71.102444"
18 SARGENT AVE,Somerville,MA,United States,"42.3906971,-71.09291056134307"
322 BROADWAY,Somerville,MA,United States,"42.392968582761775,-71.0937528052558"
33 WHEATLAND ST,Somerville,MA,United States,"42.392070700000005,-71.08957986870195"
59 BOW ST,Somerville,MA,United States,"42.38166635,-71.0992364764864"
50 MIDDLESEX AVE,Somerville,MA,United States,"42.3923094,-71.08327954966983"
12 BUCKINGHAM ST,Somerville,MA,United States,"42.37654415,-71.1034053"
69 BROMFIELD RD,Somerville,MA,United States,"42.40365625,-71.11615775"
34 IBBETSON ST,Somerville,MA,United States,"42.38596575,-71.11176443914613"
16 BEACON ST,Somerville,MA,United States,"42.3747855,-71.10266251603522"
21 CRAIGIE ST,Somerville,MA,United States,"42.3859622,-71.11213310109926"
64 COLLEGE AVE,Somerville,MA,United States,"42.3987941,-71.1211861"
5 HOMER SQ,Somerville,MA,United States,"42.380771800000005,-71.09441434878212"
97 GILMAN ST,Somerville,MA,United States,"42.38644635,-71.0927333294602"
11 HIGHLAND AVE,Somerville,MA,United States,"42.384811,-71.0929142"
33 WHEATLAND ST,Somerville,MA,United States,"42.392070700000005,-71.08957986870195"
53 CHESTER ST,Somerville,MA,United States,"42.39512015,-71.12247051843454"
34 IBBETSON ST,Somerville,MA,United States,"42.38596575,-71.11176443914613"
34 IBBETSON ST,Somerville,MA,United States,"42.38596575,-71.11176443914613"
21 CRAIGIE ST,Somerville,MA,United States,"42.3859622,-71.11213310109926"
11 HIGHLAND AVE,Somerville,MA,United States,"42.384811,-71.0929142"
11 HIGHLAND AVE,Somerville,MA,United States,"42.384811,-71.0929142"
11 HIGHLAND AVE,Somerville,MA,United States,"42.384811,-71.0929142"
141 WALNUT ST,Somerville,MA,United States,"42.38879335,-71.09210020250363"
15 TAYLOR ST,Somerville,MA,United States,"42.39473625,-71.08878620800152"
