Street Address,City,State,Country,result_num,osm_id,display_name,category,type,latlong,vertex_index,vertex_part,vertex_part_index,distance,angle
236 ELM ST,Somerville ,MA,United States ,"0","6093964495","Kong Dog, 236, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,cafe,"42.3948298,-71.121685","0","0","0",0.00000000000000,0.00000000000000
310 BROADWAY,Somerville ,MA,United States ,"0","426575222","310, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",place,house,"42.39287110689791,-71.09354377368106","0","0","0",0.00000000000000,0.00000000000000
16 BEACON ST,Somerville ,MA,United States ,"0","89184286","Walgreens, 16, Beacon Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,pharmacy,"42.3747855,-71.10266251603522","0","0","0",0.00000000000000,0.00000000000000
404 BROADWAY,Somerville ,MA,United States ,"0","1112175803","404, Broadway, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.3966666875,-71.10251925","0","0","0",0.00000000000000,0.00000000000000
91 PROSPECT ST,Somerville ,MA,United States ,"0","29520686","91, Prospect Street, Wellington-Harrington, East Cambridge, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.37574065,-71.09677575973339","0","0","0",0.00000000000000,0.00000000000000
185 WASHINGTON ST,Somerville ,MA,United States ,"0","1113559463","185, Washington Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.37986588888889,-71.09095677777778","0","0","0",0.00000000000000,0.00000000000000
101 HIGHLAND AVE,Somerville ,MA,United States ,"0","29537595","YMCA, 101, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3873497,-71.09918812121946","0","0","0",0.00000000000000,0.00000000000000
16 BEACON ST,Somerville ,MA,United States ,"0","89184286","Walgreens, 16, Beacon Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,pharmacy,"42.3747855,-71.10266251603522","0","0","0",0.00000000000000,0.00000000000000
285 HIGHLAND AVE,Somerville ,MA,United States ,"0","29633202","285, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,retail,"42.392297549999995,-71.11214723654459","0","0","0",0.00000000000000,0.00000000000000
185 BEACON ST,Somerville ,MA,United States ,"0","29529985","185,187, Beacon Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.38020925,-71.10837509785728","0","0","0",0.00000000000000,0.00000000000000
62 HIGHLAND AVE,Somerville ,MA,United States ,"0","29642461","62, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3855958,-71.0958716004748","0","0","0",0.00000000000000,0.00000000000000
40 WHITE ST,Somerville ,MA,United States ,"0","29792242","40, White Street, Avon Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,retail,"42.38911485,-71.1176579884418","0","0","0",0.00000000000000,0.00000000000000
88 BROADWAY,Somerville ,MA,United States ,"0","29792028","88, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.387074299999995,-71.08262767724004","0","0","0",0.00000000000000,0.00000000000000
1157 BROADWAY,Somerville ,MA,United States ,"0","4545700388","Broadway Eatery, 1157, Broadway, Teele Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,restaurant,"42.4035022,-71.1274467","0","0","0",0.00000000000000,0.00000000000000
852 BROADWAY,Somerville ,MA,United States ,"0","1114795419","852, Broadway, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.40092693542402,-71.11766656137739","0","0","0",0.00000000000000,0.00000000000000
355 BROADWAY,Somerville ,MA,United States ,"0","29937349","355, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.39391275,-71.09528699962239","0","0","0",0.00000000000000,0.00000000000000
78 BROADWAY,Somerville ,MA,United States ,"0","156991946","Bairos Liquors, 78, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",shop,alcohol,"42.38693275,-71.08195951717747","0","0","0",0.00000000000000,0.00000000000000
78 BROADWAY,Somerville ,MA,United States ,"0","156991946","Bairos Liquors, 78, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",shop,alcohol,"42.38693275,-71.08195951717747","0","0","0",0.00000000000000,0.00000000000000
74 BROADWAY,Somerville ,MA,United States ,"0","29936286","74;76, Broadway, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.386838749999995,-71.08169646536828","0","0","0",0.00000000000000,0.00000000000000
