Street Address,City,State,Country,result_num,osm_id,display_name,category,type,latlong,vertex_index,vertex_part,vertex_part_index,distance,angle
7 BROOK ST,Somerville,MA,United States,"0","29716941","7, Brook Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.387129400000006,-71.08528709999999","0","0","0",0.00000000000000,0.00000000000000
2 MORRISON AVE,Somerville,MA,United States,"0","29638748","2;4, Morrison Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.394324999999995,-71.11104943081602","0","0","0",0.00000000000000,0.00000000000000
299 MEDFORD ST,Somerville,MA,United States,"0","200089626","299;301, Medford Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.386109250000004,-71.09382662297386","0","0","0",0.00000000000000,0.00000000000000
38 WALKER ST,Somerville,MA,United States,"0","29635622","38;40, Walker Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40133465,-71.1195036404363","0","0","0",0.00000000000000,0.00000000000000
28 ALPINE ST,Somerville,MA,United States,"0","29516101","28, Alpine Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3934867,-71.10996679857723","0","0","0",0.00000000000000,0.00000000000000
63 BOW ST,Somerville,MA,United States,"0","29685944","63, Bow Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,residential,"42.381667300000004,-71.0993451842134","0","0","0",0.00000000000000,0.00000000000000
325 WASHINGTON ST,Somerville,MA,United States,"0","29533402","325, Washington Street, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.3795869,-71.10120032921905","0","0","0",0.00000000000000,0.00000000000000
5 PARKDALE ST,Somerville,MA,United States,"0","29530093","5;7, Parkdale Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3789986,-71.1023415251938","0","0","0",0.00000000000000,0.00000000000000
34 PEARL ST,Somerville,MA,United States,"0","29820851","34, Pearl Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.3837324,-71.08179329336544","0","0","0",0.00000000000000,0.00000000000000
190 WASHINGTON ST,Somerville,MA,United States,"0","29823769","190, Washington Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3796613,-71.09078705820943","0","0","0",0.00000000000000,0.00000000000000
43 FRANKLIN ST,Somerville,MA,United States,"0","29537694","43, Franklin Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.384217250000006,-71.08466386868398","0","0","0",0.00000000000000,0.00000000000000
8 EVERETT ST,Somerville,MA,United States,"0","29737666","8;8A;8B, Everett Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.37890635,-71.09567573296893","0","0","0",0.00000000000000,0.00000000000000
36 GILMAN ST,Somerville,MA,United States,"0","29717291","36, Gilman Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.384816,-71.09060122396443","0","0","0",0.00000000000000,0.00000000000000
26 WARNER ST,Somerville,MA,United States,"0","29820360","26, Warner Street, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4020576,-71.11547024999999","0","0","0",0.00000000000000,0.00000000000000
