Lat,Long,Total 2023
42.39663,-71.1239,3
40.5680313,-74.6099171,7
42.3862359,-71.0923825,10
42.3803724,-71.0948333,5
42.3949331,-71.1159442,0
42.39708,-71.1238,0
42.39717108,-71.12340764,0
42.3813463,-71.0984776,1
42.38138,-71.0988,0
42.38124,-71.0987,0
42.3952882,-71.1216188,2
42.3953466,-71.116602,4
42.396286,-71.119888,0
42.39483,-71.1144,0
42.38853556,-71.08789925,0
42.3813463,-71.0984776,22
42.389,-71.0884,15
42.39705,-71.1223,0
42.3955,-71.1213,6
42.39605,-71.1218,6
42.38904,-71.0886,0
42.3893,-71.088,0
42.38889,-71.0879,0
42.38881,-71.0879,1
42.38865,-71.0879,12
42.39434,-71.1139,0
42.39456,-71.114,0
42.39441,-71.1141,0
42.38546,-71.0914,0
42.38645,-71.0933,0
42.38731,-71.0936,4
42.39497,-71.1151,0
42.38562,-71.0919,0
42.39519,-71.1158,2
42.39426,-71.1139,0
42.38645,-71.0933,0
42.39426,-71.1139,0
42.39409,-71.1113,0
42.38564,-71.0919,1
42.39483,-71.1142,14
42.38779,-71.0938,0
42.38541,-71.0914,0
42.39426,-71.1139,1
42.39435,-71.114,8
42.39426,-71.1139,7
42.3887901,-71.0883383,0
42.3887918,-71.0855717,2
42.3883372,-71.0847013,15
42.3879397,-71.0836219,11
42.3875394,-71.083918,0
42.3876804,-71.0829719,2
42.3874364,-71.0823485,10
42.3875942,-71.0828007,11
42.3880846,-71.0862109,10
42.3967172,-71.1223151,0
42.39658898,-71.121872,0
42.39552862,-71.12099855,60
42.3813463,-71.0984776,1
42.39613,-71.1227,7
42.39526,-71.1214,1
42.39515,-71.1213,0
42.3968,-71.1232,0
42.3956526,-71.1226304,0
42.3967299,-71.12361037,6
42.39701,-71.1231,2
42.39552,-71.1228,10
42.397015,-71.12323646,3
42.3950413,-71.1214215,7
42.385349,-71.091965,1
42.3854065,-71.0914447,0
42.3865052,-71.0933449,8
42.386706,-71.0930312,1
42.3865212,-71.0933213,8
42.3865041,-71.0933455,5
42.3855232,-71.0917783,1
40.5680313,-74.6099171,8
42.3950413,-71.1214215,0
42.3955372,-71.1229177,1
42.3918111,-71.1118844,7
42.3843707,-71.092605,0
42.3707906,"-71.0780695000	",0
42.3950413,-71.1214215,8
42.3792142,-71.0998303,0
42.3787744,-71.09933809,13
42.3792142,-71.0998303,38
42.3792142,-71.0998303,0
42.3792142,-71.0998303,11
42.38891,-71.0878,0
42.38893,-71.0878,5
42.38908,-71.0883,0
42.38913,-71.0887,0
42.38903,-71.0885,7
42.38908,-71.0886,0
42.38895,-71.0879,0
42.38913,-71.0883,0
42.3884861,-71.0888642,1
42.3887901,-71.0883383,0
42.3887989,-71.0883449,0
42.389094,-71.0879221,5
42.3889953,-71.0884239,4
42.389094,-71.0879221,0
42.3894343,-71.0877919,2
42.3894343,-71.0877919,0
42.3889925,-71.0884211,0
42.388748,-71.08844695,7
42.385964,-71.0919444,1
"42.3889120758	","-71.0878600000	",1
42.410541,-71.1284686,0
42.3796414,-71.0946992,11
42.3796414,-71.0946992,11
42.3803724,-71.0948333,4
42.3803724,-71.0948333,1
42.3803724,-71.0948333,0
42.3869499,-71.093696,0
42.3792142,-71.0998303,0
42.3949331,-71.1159442,1
42.3949331,-71.1159442,0
42.395701,-71.1170173,2
42.3949331,-71.1159442,8
42.3949331,-71.1159442,4
42.38129,-71.0988,0
42.38908,-71.0878,12
42.39695,-71.1224,13
42.39565,-71.1209,0
42.39682,-71.1232,0
42.39555,-71.1213,6
42.3968,-71.1221,1
42.3956313,-71.1216762,0
,,506
